name,grape,colour,country,region,vineyard,look,perfume,description,acidity,fruit,tannin,body,store,Alcohol,price,year,liked,tested,,
Teroldego Rotaliano Superiore Riserva,Teroldego,red,Italy,Suedtirol,VEB,,,"saeuerlich, flach, mild",,,,,Lidl,13,"3,99",2015,no,yes,,
La Belle Angele,Merlot,red,France,,,,,"saeuerlich, herb, mild",,,,,Getraenke Hoffmann,13,"4,5",2018,no,no,,
Clos de Torribas Crianza,Tempranillo,red,Spain,Penedes,Pinord,,,"beerig, voll, samtig, saeuerlich, barrique",,,,,,13,"5,39",2015,yes,yes,,
Chianti Classico Castello di Querceto,Sangiovese,red,Italy,Toscana,Castello di Querceto,,,"sauer, tannin, trocken",,,,,,13,11,2017,no,yes,,
Fairwine Cabernet Sauvignon & Merlot,"Carbernet Sauvignon, Merlot",red,South Africa,,Mertes KG,,,"suess, samtig, beerig",,,,,Rewe,"13,5","4,5",2016,yes,yes,,
Cabernet Sauvignon Barrique Pfalz,Cabernet Sauvignon,red,Germany,Pfalz,Brems GmbH,,,"Soja, Suesskirsche, barrique, suess",,,,,Lidl,"12,5","4,5",2018,yes,yes,,
Merlot,Merlot,red,France,Pays d'Oc,Rheinberg Kellerei GmbH,,,"suess, samtig, beerig",,,,,Edeka,13,"1,99",2018,yes,yes,,
Frisch &Fruchtig,cuvee,red,Germany,"Franken, Tauberfranken","Winzergemeinschaft Franken, Joachim Krumrey",,,"flach, mild, leicht",,,,,,"12,5",,2017,yes,yes,,
San Nicolao,Barbera d'Asti,red,Italy,Piemonte,Vite Colte,,,"samtig, beerig, sueffig",,,,,Jacques,13,"6,5",2015,yes,yes,,
Shilda ,Saperavi,red,Georgia,Kindzmarauli,Shilda,,,"samtig, halb-suess, beerig",,,,,,12,,2018,yes,yes,,
Silvaner vom Michaelsberg,Silvaner,white,Germany,Franconia,Stiftsgarten Bamberg,,,"frisch, leicht, Apfel, sueffi",,,,,,"12,5",,2018,yes,yes,,
Rheinberg Riesling,Riesling,white,Germany,Rheinhessen,Rheinberg Kellerei GmbH,,,"sueffig, suess, leicht",,,,,Edeka,11,"1,99",2018,yes,yes,,
Engel Mueller-Thurgau,Mueller-Thurgau,white,Germany,Franconia,Weinbau Engel GbR,,,"leicht, spritzig, frisch, saeuerlich",,,,,,"11,5",5,2018,yes,yes,,
1112 Blanc de Noirs,Spaetburgunder,white,Germany,Baden,Markgraeflich Badisches Weinhaus,,,"Birne, zitrone, frisch, herb",,,,,,"12,5",5,2018,yes,yes,,
Sauvignon Blanc,Sauvignon Blanc,white,New Zealand,Marlborough,Vineris,,,"Maracuja, Aprikose, sanft, suess, fruchtig",,,,,Lidl,"12,5","3,99",2018,yes,yes,,
Landlust Dornfelder & Spaetburgunder,"Dornfelder, Spaetburgunder",red,Germany,Pfalz,Landlust,,,"weich, sueffig",,,,,Rewe,"12,5","2,99",2018,yes,yes,,
Die Sonnenwinzer Grauer Burgunder,Grauburgunder,white,Germany,Baden,Badischer Winzerkeller,,,"suess, leicht",,,,,Edeka,"13,5","4,9",2018,yes,yes,,
Colombard Sauvignon Blanc,"Colombard, Sauvignon Blanc",white,France,Cotes de Gascogne,Baron d'Albian,,,"mineralisch, flach, Birne",,,,,Lidl,11,"2,99",2018,no,yes,,
Chenin Blanc,Chenin Blanc,white,South Africa,Western Cape,Vineris,,,"bitter, Honig, flach, spritzig",,,,,Lidl,"12,5","2,69",2019,no,yes,,
Deutscher Qualitaetswein Silvaner,Silvaner,white,Germany,Pfalz,Mertes KG,,,"flach, spritzig, saeuerlich, mild",,,,,Rewe,12,"1,99",2019,no,yes,,
Gutedel Qualitaetswein Trocken,Gutedel,white,Germany,Baden,Auggener Schaef,,,"sueffig, suess, leicht",,,,,Rewe,12,"3,49",2018,yes,yes,,
Spaetlese Spaetburgunder,Spaetburgunder,red,Germany,Baden,Badischer Weinverbund Breisach,,,"trocken, tannin, Kirsche",,,,,Lidl,14,"3,99",2018,yes,yes,,
Pruem Riesling,Riesling,white,Germany,Mosel,Pruem KG,,,"frisch, herb, spritzig, einfach",,,,,Aldi,"11,5","3,99",2018,yes,yes,,
Mont Clou,"Cabernet Sauvignon, Syrah",rose,Spain,Somontano,Trenza,,,"erdbeere, wuerzig, herb, sueffig",,,,,Vinos,"13,5","9,95",2019,yes,yes,,
Quietus Verdejo,Verdejo,white,Spain,Rueda,Quietus,,,"frisch, leicht, blumig, sueffig",,,,,Vinos,"12,5","8,95",2019,yes,yes,,
Barriton Crianza,Tempranillo,red,Spain,Rioja,Barriton,,,"barrique, flach, saeuerlich, Kirsche",,,,,,"13,5","12,95",2016,yes,no,,
Marani Tvishi,Tsolikauri,white,Georgia,Racha-Lechkhumi,Marani,,,"suess, herb, sueffig, banane",,,,,,11,"11,5",2018,yes,yes,,
Regent,Regent,red,Germany,Rheinhessen,Michel Schneider,,,"nelken, schwer, zimt, flach, bitter",,,,,Edeka,12,"1,99",2019,yes,no,,
Tierra de Castilla Rosado,Tempranillo,rose,Spain,La Mancha,Oekoweine Haus am Goldberg,,,"honig, flieder, wuerzig",,,,,Denns,13,6,2019,yes,yes,,
1112 Grauburgunder,Grauburgunder,white,Germany,Baden,Markgraeflich Badisches Weinhaus,,,"suess, sueffig",,,,,Rewe,13,"4,9",2019,yes,yes,,
Freixenet Carta Rose Dry,"Garnacha, Trepat",rose,Spain,Cava,Henkell-Freixenet,,,suess,,,,,Rewe,12,"5,99",2019,yes,yes,,
Passerina Bio IGT,Pecorino,white,Italy,Marche,San Filippo,,,"mild, herb, leicht",,,,,Balera,,7,,yes,yes,,
Rosato di Nero d'Avola,Nero d'Avola,red,Italy,Sicilia,,,,"flach, leicht, herb",,,,,Balera,,7,,yes,no,,
Les aromes de France Syrah,Syrah,red,France,Pays d‘Oc,,,,"wuerzig, Pfeffer, saeurearm, wenig koerper",,,,,Edeka,13,"3,99",,yes,yes,,Suff
Avior Reserva 2014,Tempranillo,red,Spain,Rioja,Avior,,,"Pfeffer, Zimt, Haselnuss",,,,,Vinos,"13,5","14,95",2014,yes,yes,Reserva,
Meu Treixadura,Treixadura,white,Spain,Ribeiro,Vina Costeira,,,"Stroh, spaeter weisser Pfirsich, gruene Paprika, Blueten, mineralisch,kalkig, Zitrus",,,,,Vinos,"12,5","12,95",2019,yes,yes,,Tischwein
Lumia Rosado,"Prieto Picudo, Tempranillo",rose,Spain,Castilla,Lumia,,,"flach, mild ",,,,,Vinos,13,"9,95",2019,yes,no,,langweilig
Cepa Lebrel Rosado,Tempranillo,rose,Spain,Rioja,Pagos del Rey,,,,,,,,Lidl,13,"2,99",2019,yes,yes,,"Sommer,Picnic,Tischwein"
Acolon,Acolon,red,Germany,Franconia,,,,"wuerzig, Pfeffer, saeurearm,suess, unaufdringlich",,,,,,,,2018,yes,yes,,Digestif
Zwoelberich Riesling Spaetlese 2016 Koenigsschild,Riesling,white,Germany,Nahe,Zwoelberich,"Stroh, Blaeschen","Minze, Birne, mineralisch","mineralisch, sueffig, frisch",,,,,Demeter,"12,5","19,8",2016,yes,yes,Spaetlese,
Zwoelberich Auxerrois Spaetlese Guldentaler Rosenteich 2017,Auxerrois,white,Germany,Nahe,Zwoelberich,"hellgold, Stroh, gruenlich","Barrique, Butter, Zitronenmelisse, Heublumen, Salz","cremig, Kamille, Banane",5,3,6,8,Demeter,"13,5","17,8",2017,yes,yes,Spaetlese,barrique
Zwoelberich Rulaender 2018 suess,Rulaender,white,Germany,Nahe,Zwoelberich,"hellgold, Stroh, gruenlich","Honig, Kiwi, Blueten, Klee","suess, Honig, Kleeblueten",1,9,1,8,Demeter,10,"12,8",2018,yes,yes,,suess
Zwoelberich Secco rose 2019,Portugieser,secco,Germany,Nahe,Zwoelberich,Grapefruit,"Grapefruit, Erdbeere, Himbeere","mild, herb, wuerzig",6,7,0,6,Demeter,"12,5","10,8",2019,yes,yes,Qualitaetsperlwein,
Zwoelberich Dornfelder Qualitaetswein,Dornfelder ,red,Germany,Nahe,Zwoelberich,schwarz,"Leder, Saeure, Brombeere, Sauerkirsch","Cassis, leicht, saeure, herb",7,2,4,4,Demeter,"12,9","10,8",2018,yes,no,QbA,
Zwoelberich Spaetburgunder Spaetlese 2015,Spaetburgunder,red,Germany,Nahe,Zwoelberich,dunkel,"Karamell, barrique",,3,3,6,5,Demeter,"13,5","16,8",2015,yes,yes,Spaetlese,barrique
Riesling vom Loessboden,Riesling,white,Germany,Pfalz,Eselshaut,weiss,frisch,"Apfel, fruchtig",8,7,0,5,Lidl,12,"3,99",2019,yes,yes,Loessboden,
448,,white,Italy,Alto Adige,,"weiß, blass",mild,"leicht, mild, flach",6,3,0,0,vipino,7,7,2019,yes,yes,,
Weissburgunder,Weissburgunder,white,Italy,Alto Adige,,,"mineralisch, Golden Delicious","mineralisch, frisch",8,2,0,4,vipino,12,12,2019,yes,yes,,
Sauvignon Blanc,Sauvignon Blanc,white,Italy,Alto Adige,,,Maracuja,"sanft, Maracuja, Grapefruit",5,8,0,5,vipino,22,22,,yes,yes,,barrique
Muskateller,Muskateller,white,Germany,Pfalz,Pamona Cellars,"blass, perlig","blumig, würzig","Pfeffer, Muskat",2,7,0,6,Lidl,"9,5","2,9",2019,yes,yes,Qualitaetswein,lieblich
Zonar Frizzante,"Verdejo, Sauvignon Blanc, Viura",white,Spain,,Avelino Vegas ,"Stroh, Blaeschen","frisch, Aprikose, Limette","fruchtig, süß, Aprikose",4,7,1,5,Vinos,13,"7,95",2019,yes,yes,Frizzante,
Scheurebe,Scheurebe,white,Germany,Rheinhessen,Pamona Cellars,hellgelb,"Grapefruit, Erdbeere, Johannisbeere","Erdbeere, Johannisbeere",3,8,1,8,Lidl,10,"1,93",2019,yes,yes,Qualitaetswein,lieblich
Vareza do Marao Vinho Verde,"Arinto, Azal blanco, Loureiro, Trajadura",white,Portugal,Vinho Verde DOC,Agrimota,"blass, hell","leicht, frisch","leicht, frisch, blass",2,5,0,4,vinos,"9,5","7,5",2019,yes,yes,DOC,
Bebame Blanco,Viura,white,Spain,Vino de Espana,Bebame,hellgelb,"frisch, leicht","gelber Apfel, saeuerlich, blass",6,4,0,2,vinos,"12,5","3,95",2019,yes,no,cuvee,
Daimon Tinto,"Tempranillo, Garnacha ",red,Spain,Rioja,Tobia,,,"spritzig, sauerlich, leicht, Johannisbeere",8,4,1,6,vinos,"13,5","5,95",2019,yes,no,DOCa,
Juan Gil Petit Verdot,Petit Verdot,red,Spain,Jumilla,,violett,schwer,"Leder, Holz, Brombeere, tannin, barrique",3,5,6,7,vinos,"14,5","12,95",2019,yes,yes,DOP,barrique
